fightmetric_id,ufc_fight_uuid,drupal_internal_nid,red_athlete_uuid,blue_athlete_uuid,winner_athlete_uuid,title,final_method,final_round,final_time
10606,dac0d26d-cf17-429a-871c-f0a3d0b08f25,130191,56bbe9f5-a1e6-4b93-870e-8fd9b57ffba8,5bcead7c-61e0-413d-81f3-412c00623f01,56bbe9f5-a1e6-4b93-870e-8fd9b57ffba8,Lerone Murphy vs Josh Culibao,Decision - Unanimous,3,5:00
10607,7755ba39-4ad9-4219-b332-1e9ac649f8f1,130189,b30b057a-c1b3-4956-8a8e-0a74cba80b63,2364da22-51b0-4e45-94b5-0944ed51bc88,2364da22-51b0-4e45-94b5-0944ed51bc88,Davey Grant vs Daniel Marcos,Decision - Split,3,5:00
10608,914ec70b-bd49-4161-8945-2fc07d204261,130180,daf1d680-ff2e-412d-a780-f3722b777702,6cb09613-39ce-4881-9387-9cae5775251b,daf1d680-ff2e-412d-a780-f3722b777702,Nathaniel Wood vs Andre Fili,Decision - Unanimous,3,5:00
10609,a77b2c57-044e-40bc-876e-269c84a4079e,130190,d36a69bc-015a-495c-9aff-23ed4743fc33,5139195f-7311-4b38-8722-5b4540c995ad,d36a69bc-015a-495c-9aff-23ed4743fc33,Chris Duncan vs Yanal Ashmouz,Decision - Unanimous,3,5:00
10610,dcbf84c2-9f41-402f-b39a-0da1e0e49a6a,130497,25c13ea3-ec8d-4da4-a300-3b7aba16398f,4daa9465-910a-4cda-8479-54ae31bec959,25c13ea3-ec8d-4da4-a300-3b7aba16398f,Paul Craig vs Andre Muniz,KO/TKO,2,4:40
10631,e598e056-8256-4a4d-83f4-8ee95bc59eda,130286,f58dee06-de3f-4f5a-9568-947c4e8de628,ad0e7f59-8b31-4483-bc4b-ec4c14375472,f58dee06-de3f-4f5a-9568-947c4e8de628,Arman Tsarukyan vs Joaquim Silva,KO/TKO,3,3:25
10632,f7c90578-3986-41c8-8270-36153373da6f,130280,3f02902b-7b7b-4217-8ac1-b47c2b70fb5a,f03521de-76ae-45ae-be6f-20c762bc5edf,3f02902b-7b7b-4217-8ac1-b47c2b70fb5a,Armen Petrosyan vs Christian Leroy Duncan,Decision - Unanimous,3,5:00
10634,88ec9176-b758-4ed6-a0f1-fc47e4749052,130284,03736a88-e47c-4b0b-b13c-2777688f6cd8,ef259cbe-5937-4ce6-954c-0aa20306ec7e,03736a88-e47c-4b0b-b13c-2777688f6cd8,Manuel Torres vs Nikolas Motta,KO/TKO,1,1:50
10635,3d02939c-17bb-446d-b36a-ad7c1c4a8a35,130288,a3f43814-cc0d-4658-b7be-ad05baf95dfb,131f3f8f-a752-4282-8c60-5761be51a740,a3f43814-cc0d-4658-b7be-ad05baf95dfb,Pat Sabatini vs Lucas Almeida,Submission,2,1:48
10637,890d58a4-e7a3-4db5-9d9d-3e88b6049442,130279,03f4e458-b262-46e7-a2e9-805a40da4326,e832c2c4-c729-4cec-be3d-7c61356b09ad,e832c2c4-c729-4cec-be3d-7c61356b09ad,Jimmy Flick vs Alessandro Costa,KO/TKO,2,1:03
